Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT"
C309_HILIC,L-alpha-lysophosphatidylcholine,467.3014,3.31,0.2,-0.1,0.1,-3.7,-1.9,1.7,-3.3,-1.8,1.6,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,8.1E+06,9.8E+06,8.7E+06,9.1E+06,8.6E+06,9.9E+06,6.5E+06,9.9E+06,1.1E+08,1.1E+08,1.2E+08,9.0E+07,1.0E+08,1.1E+08,9.6E+07,9.4E+07,4.5E+07,4.4E+07,2.9E+07,2.8E+07,3.3E+07,3.3E+07,3.1E+07,3.4E+07,3.3E+05,2.2E+05,2.7E+05,1.9E+05,1.9E+05,1.4E+05,2.5E+05,18.5,21.0,10.3,8.5,3.9,12.3
C310_HILIC,1-Oleoyl-2-hydroxy-sn-glycero-3-PE,479.3014,3.19,0.3,0.0,-0.3,0.5,0.5,0.0,0.8,1.1,0.3,1.000,1.000,1.000,0.087,0.039,1.000,0.001,0.000,0.450,9.6E+07,1.7E+08,9.9E+07,1.1E+08,9.9E+07,1.2E+08,9.5E+07,1.2E+08,7.4E+07,7.5E+07,6.3E+07,6.1E+07,5.5E+07,6.3E+07,8.6E+07,8.7E+07,7.6E+07,6.6E+07,6.6E+07,4.8E+07,6.7E+07,5.7E+07,5.9E+07,5.5E+07,3.1E+05,3.6E+05,2.7E+05,3.7E+05,3.0E+05,4.9E+05,4.0E+05,13.6,10.3,16.9,20.0,18.9,2.0
C311_HILIC,1-(1Z-hexadecenyl)-sn-glycero-3-phosphocholine,479.3376,3.30,0.5,0.5,-0.1,0.6,-1.3,-1.9,0.7,-0.7,-1.3,1.000,1.000,1.000,0.584,0.096,0.003,1.000,0.239,0.059,5.5E+06,8.6E+06,7.3E+06,2.2E+06,4.8E+06,6.8E+06,4.6E+06,7.9E+06,3.0E+06,3.1E+06,3.7E+06,4.2E+06,2.7E+06,4.8E+06,3.6E+06,6.3E+06,1.4E+07,7.0E+06,1.4E+07,9.5E+06,9.1E+06,1.3E+07,1.0E+07,1.4E+07,1.5E+05,1.0E+05,2.1E+05,1.6E+05,1.9E+05,8.2E+04,1.1E+05,31.1,21.9,28.9,14.9,44.9,22.0
C312_HILIC,1-Stearoyl-2-hydroxy-sn-glycero-3-PE,481.3171,4.14,1.0,0.3,-0.1,-0.5,-1.5,-1.0,0.2,-0.4,-0.6,0.574,1.000,1.000,1.000,0.000,0.008,1.000,0.501,0.349,1.4E+07,1.9E+07,1.4E+07,3.1E+07,1.0E+07,2.6E+07,1.3E+07,2.8E+07,2.2E+07,3.9E+07,1.7E+07,1.8E+07,1.1E+07,1.6E+07,2.0E+07,2.8E+07,3.8E+07,3.5E+07,3.8E+07,4.0E+07,4.5E+07,3.7E+07,3.2E+07,3.5E+07,4.1E+05,3.8E+05,6.0E+05,4.3E+05,3.4E+05,3.4E+05,3.2E+05,6.9,14.6,40.5,29.0,20.1,13.5
C313_HILIC,2-palmitoyl-sn-glycero-3-phosphocholine,495.3326,3.31,0.3,0.2,-0.1,0.3,1.1,0.8,0.4,1.5,1.1,1.000,1.000,1.000,0.488,0.000,0.000,0.034,0.000,0.000,1.7E+09,2.6E+09,1.7E+09,2.1E+09,1.7E+09,1.9E+09,1.5E+09,2.0E+09,1.4E+09,1.7E+09,1.3E+09,1.4E+09,1.2E+09,1.5E+09,1.4E+09,1.5E+09,9.1E+08,7.9E+08,8.3E+08,6.3E+08,7.3E+08,7.8E+08,6.1E+08,6.5E+08,4.0E+06,4.2E+06,3.8E+06,3.4E+06,4.0E+06,3.7E+06,3.6E+06,11.9,17.1,7.9,8.3,15.6,5.8
C314_HILIC,2-palmitoyl-sn-glycero-3-phosphocholine,495.3326,4.41,0.3,0.3,-0.1,0.1,0.8,0.7,0.2,1.2,1.0,1.000,1.000,1.000,1.000,0.000,0.001,0.684,0.000,0.000,6.7E+08,8.6E+08,6.6E+08,8.0E+08,6.1E+08,7.6E+08,6.2E+08,7.7E+08,6.8E+08,7.5E+08,5.3E+08,5.6E+08,5.1E+08,6.9E+08,6.3E+08,6.9E+08,3.8E+08,3.9E+08,4.1E+08,2.9E+08,3.4E+08,4.0E+08,3.0E+08,3.0E+08,1.8E+06,1.8E+06,1.6E+06,1.5E+06,1.5E+06,1.7E+06,1.8E+06,17.3,13.0,12.1,13.2,5.8,4.9
C315_HILIC,1-arachidonyl-sn-glycero-3-phosphoethanolamine,501.2857,4.18,0.2,0.1,0.0,1.4,1.7,0.4,1.5,1.9,0.4,1.000,1.000,1.000,0.000,0.000,0.682,0.000,0.000,0.836,5.6E+07,6.2E+07,6.5E+07,6.5E+07,5.8E+07,8.6E+07,7.0E+07,7.6E+07,3.1E+07,2.5E+07,2.3E+07,2.1E+07,2.2E+07,2.9E+07,2.5E+07,2.5E+07,1.8E+07,1.8E+07,1.3E+07,1.9E+07,3.1E+07,1.8E+07,2.0E+07,2.2E+07,4.1E+05,5.4E+05,6.1E+05,5.0E+05,3.5E+05,3.6E+05,3.8E+05,9.7,38.3,13.3,16.4,15.0,10.3
C316_HILIC,2-arachidonyl-sn-glycero-3-phosphoethanolamine,501.2857,3.16,0.2,0.1,-0.1,1.4,1.8,0.4,1.5,2.0,0.5,1.000,1.000,1.000,0.000,0.000,0.351,0.000,0.000,0.039,1.7E+08,2.7E+08,1.8E+08,1.7E+08,1.8E+08,2.3E+08,1.7E+08,1.9E+08,8.6E+07,7.1E+07,6.2E+07,6.0E+07,6.4E+07,8.1E+07,7.4E+07,7.3E+07,5.0E+07,4.2E+07,4.9E+07,5.0E+07,7.1E+07,5.0E+07,5.5E+07,5.3E+07,4.3E+05,5.6E+05,4.7E+05,4.9E+05,3.7E+05,7.3E+05,5.9E+05,9.9,17.7,12.3,15.4,20.6,2.7
C317_HILIC,1-oleoyl-sn-glycero-3-phosphocholine,521.3485,3.30,0.1,0.1,0.2,1.9,2.4,0.6,1.8,2.3,0.5,1.000,1.000,1.000,0.000,0.000,0.048,0.000,0.000,0.021,7.6E+08,8.6E+08,7.7E+08,7.3E+08,7.5E+08,7.1E+08,6.8E+08,8.2E+08,2.2E+08,2.3E+08,2.0E+08,2.0E+08,1.9E+08,2.3E+08,2.4E+08,2.4E+08,2.1E+08,1.6E+08,1.3E+08,1.3E+08,1.4E+08,1.7E+08,1.4E+08,1.6E+08,6.8E+05,8.2E+05,3.3E+05,5.1E+05,5.9E+05,7.0E+05,5.0E+05,11.3,24.3,8.0,10.6,9.5,5.1
C318_HILIC,2-oleoyl-sn-glycero-3-phosphocholine,521.3485,4.40,0.1,0.0,0.0,1.6,1.9,0.3,1.6,2.0,0.4,1.000,1.000,1.000,0.000,0.000,0.142,0.000,0.000,0.023,2.5E+08,2.3E+08,2.5E+08,2.5E+08,2.4E+08,2.9E+08,2.3E+08,2.7E+08,8.9E+07,8.9E+07,7.7E+07,7.3E+07,7.3E+07,8.4E+07,9.0E+07,8.5E+07,7.6E+07,6.7E+07,5.8E+07,5.2E+07,6.7E+07,6.8E+07,6.4E+07,6.2E+07,4.0E+05,3.1E+05,3.3E+05,2.3E+05,1.6E+05,2.9E+05,1.7E+05,11.9,11.2,8.4,10.6,9.4,4.5
C319_HILIC,Platelet-activating factor,523.3644,3.30,0.8,0.4,0.0,0.5,-0.1,-0.6,0.9,0.7,-0.2,0.476,1.000,1.000,0.283,1.000,0.075,0.010,0.063,1.000,3.5E+08,7.7E+08,3.7E+08,6.3E+08,3.4E+08,4.4E+08,2.9E+08,5.8E+08,2.7E+08,4.2E+08,2.3E+08,2.7E+08,1.7E+08,2.5E+08,2.8E+08,3.7E+08,4.0E+08,3.8E+08,4.3E+08,3.0E+08,3.4E+08,4.6E+08,3.3E+08,3.7E+08,7.3E+05,9.3E+05,5.0E+05,6.1E+05,5.6E+05,7.2E+05,4.8E+05,17.3,12.8,23.6,21.6,22.6,9.2
C320_HILIC,"lysophosphatidylethanolamine (22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",525.2858,3.11,0.1,0.1,-0.2,1.7,2.4,0.7,1.6,2.7,1.0,1.000,1.000,1.000,0.000,0.000,0.002,0.000,0.000,0.000,3.0E+08,4.4E+08,3.1E+08,2.7E+08,3.2E+08,3.5E+08,3.2E+08,3.0E+08,1.2E+08,1.1E+08,1.0E+08,9.7E+07,9.2E+07,1.2E+08,9.1E+07,9.6E+07,6.0E+07,5.1E+07,6.0E+07,6.0E+07,7.4E+07,4.9E+07,6.0E+07,5.2E+07,5.4E+05,3.0E+05,4.6E+05,4.0E+05,3.7E+05,3.5E+05,3.5E+05,9.1,10.7,10.0,11.9,21.0,2.7
C321_HILIC,1-arachidonoyl-sn-glycero-3-phosphocholine,543.3328,3.30,0.0,0.3,0.3,2.1,2.6,0.6,1.7,2.3,0.6,1.000,1.000,1.000,0.000,0.000,0.056,0.000,0.000,0.139,2.3E+08,2.3E+08,2.2E+08,2.3E+08,2.3E+08,1.9E+08,2.0E+08,2.2E+08,6.9E+07,7.9E+07,5.4E+07,5.8E+07,4.4E+07,7.7E+07,5.4E+07,5.5E+07,4.7E+07,4.4E+07,2.3E+07,3.7E+07,3.7E+07,5.2E+07,3.6E+07,4.8E+07,2.2E+05,2.9E+05,3.1E+05,1.7E+05,1.9E+05,1.9E+05,1.4E+05,13.7,28.2,18.1,18.2,9.9,6.3
C322_HILIC,"[(2R,3S,4R,5R)-5-(6-Amino-9H-purin-9-yl)-3,4-dihydroxytetrahydro-2-furanyl]methyl [(2R,3S,4R,5R)-3,4,5-trihydroxytetrahydro-2-furanyl]methyl dihydrogen diphosphate",559.0719,16.66,0.2,0.1,0.7,6.5,8.8,2.3,6.5,8.3,1.8,1.000,1.000,1.000,0.002,0.000,0.658,0.002,0.000,1.000,1.2E+09,1.8E+09,1.2E+09,1.3E+09,1.3E+09,8.5E+08,1.0E+09,1.4E+09,1.1E+08,9.0E+06,7.9E+06,2.1E+07,1.9E+07,1.6E+08,2.9E+06,2.0E+06,2.7E+06,2.3E+06,5.8E+06,3.0E+06,1.8E+06,5.1E+07,2.6E+06,5.5E+06,2.4E+05,2.4E+05,2.5E+05,3.6E+05,3.2E+05,2.3E+05,2.5E+05,154.4,54.5,156.2,143.0,28.1,8.5
C323_HILIC,"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",567.3327,3.29,0.1,0.5,0.3,2.2,3.7,1.4,1.8,3.4,1.6,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.3E+08,1.3E+08,1.2E+08,1.2E+08,1.3E+08,1.2E+08,1.0E+08,1.3E+08,3.0E+07,4.3E+07,2.7E+07,3.0E+07,2.5E+07,4.2E+07,2.3E+07,2.6E+07,1.3E+07,1.4E+07,7.0E+06,1.0E+07,8.8E+06,1.2E+07,1.0E+07,1.2E+07,1.7E+05,1.1E+05,2.2E+05,1.7E+05,1.9E+05,8.1E+04,1.0E+05,12.3,27.9,23.4,11.1,3.9,10.5
C324_HILIC,"3-[(19Z)-15,16-Dihydroxy-19-dotriaconten-1-yl]-5-methyl-2(5H)-furanone",576.5120,1.99,1.3,0.6,-0.1,-0.7,-3.4,-2.7,0.0,-2.0,-2.0,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.003,0.007,1.1E+07,7.0E+06,9.9E+06,3.5E+07,9.3E+06,2.4E+07,1.1E+07,2.5E+07,1.7E+07,3.3E+07,1.6E+07,1.7E+07,5.2E+06,1.1E+07,2.3E+07,3.3E+07,1.1E+08,8.8E+07,1.3E+08,1.1E+08,1.1E+08,9.6E+07,9.0E+07,1.0E+08,1.1E+05,1.2E+05,1.2E+05,1.0E+05,1.1E+05,1.0E+05,1.2E+05,10.0,13.7,47.7,47.6,50.7,6.2
C325_HILIC,GDP-fucose,589.0825,19.18,0.1,-0.1,0.0,0.5,0.4,-0.1,0.6,0.5,-0.2,1.000,1.000,1.000,0.008,0.039,1.000,0.001,0.004,1.000,1.3E+07,1.8E+07,1.5E+07,1.4E+07,1.5E+07,1.6E+07,1.7E+07,1.6E+07,1.2E+07,1.1E+07,1.2E+07,9.7E+06,9.3E+06,9.9E+06,1.0E+07,1.1E+07,1.2E+07,1.3E+07,1.2E+07,9.0E+06,1.2E+07,1.2E+07,1.1E+07,1.1E+07,1.9E+05,1.8E+05,1.8E+05,1.9E+05,1.7E+05,1.6E+05,1.7E+05,15.0,5.2,7.5,11.8,8.7,9.4
C326_HILIC,CMP-sialic acid,614.1474,17.07,-0.1,0.3,-0.3,0.8,0.6,-0.2,0.4,0.7,0.4,1.000,1.000,1.000,0.006,0.039,1.000,0.342,0.008,0.722,9.3E+07,1.3E+08,9.1E+07,8.2E+07,9.3E+07,6.6E+07,9.3E+07,8.7E+07,5.5E+07,7.3E+07,5.3E+07,6.0E+07,4.7E+07,5.4E+07,5.5E+07,7.8E+07,6.5E+07,6.7E+07,6.6E+07,4.5E+07,6.2E+07,5.0E+07,5.0E+07,5.1E+07,2.7E+05,2.3E+05,2.2E+05,2.1E+05,2.0E+05,2.4E+05,2.2E+05,17.5,12.2,16.3,7.4,30.8,0.8
C327_HILIC,Lysophosphatidylinositol,620.2964,2.53,0.3,0.1,-0.5,2.1,3.1,1.0,2.3,3.9,1.6,1.000,1.000,1.000,0.000,0.000,0.003,0.000,0.000,0.000,7.8E+07,1.7E+08,9.1E+07,1.0E+08,9.9E+07,1.2E+08,8.1E+07,7.9E+07,2.6E+07,2.6E+07,1.7E+07,1.8E+07,2.2E+07,2.5E+07,1.9E+07,1.9E+07,1.2E+07,9.7E+06,9.7E+06,7.6E+06,1.0E+07,6.8E+06,8.7E+06,6.7E+06,1.1E+06,1.0E+06,1.3E+06,1.1E+06,1.2E+06,1.2E+06,1.2E+06,17.6,13.6,18.3,19.4,33.3,11.0
C328_HILIC,PC(14:0/14:0),677.4992,2.92,0.6,-0.2,-0.2,-7.3,-7.6,-0.3,-6.5,-6.8,-0.3,1.000,1.000,1.000,0.000,0.000,0.896,0.000,0.000,1.000,1.3E+06,1.3E+06,1.0E+06,2.3E+06,1.8E+06,1.1E+06,1.0E+06,2.7E+06,1.9E+08,2.0E+08,2.0E+08,1.6E+08,1.2E+08,1.5E+08,1.7E+08,1.6E+08,2.3E+08,1.9E+08,2.3E+08,2.0E+08,2.2E+08,1.8E+08,1.9E+08,2.2E+08,7.0E+05,6.3E+05,8.5E+05,6.9E+05,8.2E+05,2.9E+05,7.6E+05,8.4,7.9,14.1,20.6,41.5,27.2
C329_HILIC,"(9R)-6-Hydroxy-6-oxido-12-oxo-5,7,11-trioxa-2-aza-6lambda~5~-phosphaheptacosan-9-yl palmitate",705.5303,2.88,0.7,0.1,0.0,-4.1,-5.3,-1.2,-3.5,-4.6,-1.0,1.000,1.000,1.000,0.000,0.000,0.005,0.000,0.000,0.020,2.5E+07,1.5E+07,2.5E+07,4.0E+07,2.0E+07,3.9E+07,1.8E+07,3.3E+07,3.8E+08,5.2E+08,4.0E+08,3.6E+08,2.6E+08,3.3E+08,4.3E+08,4.7E+08,8.2E+08,7.0E+08,9.2E+08,1.1E+09,8.9E+08,8.0E+08,8.4E+08,9.0E+08,9.9E+06,1.0E+07,9.1E+06,1.0E+07,1.0E+07,9.2E+06,1.2E+07,21.1,4.9,20.7,19.6,36.8,14.8
C330_HILIC,"1-tetradecanoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine",727.5149,2.86,0.3,-0.2,-0.1,-6.8,-6.5,0.3,-6.3,-6.1,0.2,1.000,1.000,1.000,0.000,0.000,0.927,0.000,0.000,1.000,1.5E+06,1.9E+06,1.4E+06,1.8E+06,2.0E+06,3.1E+06,1.6E+06,1.8E+06,2.0E+08,1.6E+08,1.8E+08,1.4E+08,1.3E+08,1.2E+08,1.7E+08,1.6E+08,1.5E+08,1.4E+08,1.5E+08,1.3E+08,1.5E+08,1.2E+08,1.3E+08,1.3E+08,2.3E+05,2.2E+05,3.9E+05,2.7E+05,3.1E+05,6.8E+05,2.3E+05,6.2,5.5,14.2,17.5,29.0,15.5
C331_HILIC,N-oleoylsphingosine-1-phosphocholine,728.5832,3.08,0.5,0.3,0.0,2.9,3.5,0.6,3.1,4.0,0.9,1.000,1.000,1.000,0.000,0.000,0.946,0.000,0.000,0.082,1.9E+08,1.4E+08,2.0E+08,4.0E+08,1.8E+08,1.9E+08,1.7E+08,3.2E+08,3.0E+07,2.9E+07,2.0E+07,2.7E+07,1.5E+07,3.1E+07,3.5E+07,4.1E+07,1.5E+07,1.5E+07,2.4E+07,1.8E+07,1.6E+07,1.9E+07,1.6E+07,1.3E+07,1.9E+05,1.8E+05,4.3E+05,1.4E+05,1.6E+05,1.9E+05,2.8E+05,15.8,23.8,18.6,36.0,44.7,7.5
C332_HILIC,1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine,731.5460,2.85,0.6,0.1,-0.1,-2.9,-3.9,-0.9,-2.4,-3.2,-0.8,1.000,1.000,1.000,0.000,0.000,0.004,0.000,0.000,0.041,3.8E+08,2.9E+08,3.8E+08,5.8E+08,3.6E+08,5.9E+08,3.4E+08,5.2E+08,3.0E+09,3.4E+09,2.6E+09,2.5E+09,1.8E+09,2.2E+09,3.2E+09,3.5E+09,5.4E+09,4.9E+09,5.5E+09,4.6E+09,5.4E+09,5.0E+09,5.2E+09,5.3E+09,2.5E+07,2.4E+07,2.3E+07,2.4E+07,2.3E+07,2.1E+07,2.5E+07,5.6,2.6,23.1,24.3,28.7,6.3
C333_HILIC,"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(tetradecanoyloxy)propyl (7Z,10Z,13Z,16Z)-7,10,13,16-docosatetraenoate",739.5152,2.53,0.5,0.0,0.2,-1.1,-1.6,-0.5,-0.6,-1.3,-0.7,1.000,1.000,1.000,0.054,0.001,0.530,0.154,0.002,0.499,4.8E+07,2.7E+07,4.5E+07,8.2E+07,4.6E+07,7.0E+07,4.7E+07,6.4E+07,9.7E+07,1.2E+08,1.0E+08,8.1E+07,6.9E+07,7.4E+07,1.1E+08,1.4E+08,1.3E+08,1.2E+08,1.4E+08,1.7E+08,1.4E+08,1.5E+08,1.5E+08,1.7E+08,1.3E+06,8.0E+05,1.0E+06,1.3E+06,1.0E+06,1.1E+06,1.1E+06,16.0,5.1,30.0,18.4,39.4,2.4
C334_HILIC,1-[(9Z)-octadec-9-enoyl]-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol),748.5258,1.99,1.3,0.4,-0.2,-0.8,-3.4,-2.6,0.1,-1.9,-1.9,1.000,1.000,1.000,1.000,0.000,0.001,1.000,0.006,0.010,2.4E+07,1.5E+07,2.0E+07,8.1E+07,1.9E+07,5.4E+07,2.5E+07,5.2E+07,3.5E+07,6.7E+07,3.9E+07,3.5E+07,1.1E+07,2.3E+07,4.7E+07,6.7E+07,2.4E+08,1.9E+08,2.4E+08,2.0E+08,2.2E+08,2.0E+08,1.9E+08,1.9E+08,2.6E+05,2.0E+05,1.9E+05,2.3E+05,1.9E+05,2.1E+05,1.8E+05,3.8,9.9,46.9,46.3,54.0,11.6
C335_HILIC,"1-palmitoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine",755.5460,2.83,0.2,-0.1,0.0,-3.7,-3.5,0.2,-3.4,-3.3,0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.0E+07,2.1E+07,2.5E+07,2.9E+07,2.6E+07,2.4E+07,2.0E+07,2.7E+07,3.3E+08,3.1E+08,2.5E+08,2.4E+08,2.0E+08,2.3E+08,3.3E+08,3.0E+08,2.5E+08,2.6E+08,2.6E+08,1.8E+08,2.8E+08,2.6E+08,2.4E+08,2.5E+08,7.5E+05,9.5E+05,7.4E+05,7.8E+05,8.6E+05,4.1E+05,5.7E+05,16.1,5.5,16.1,22.9,14.2,14.9
C336_HILIC,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,759.5773,2.82,0.7,0.4,0.1,0.5,-1.3,-1.8,0.7,-0.6,-1.4,1.000,1.000,1.000,0.743,0.025,0.001,0.918,0.113,0.007,1.9E+09,1.3E+09,2.1E+09,3.4E+09,1.7E+09,3.1E+09,1.9E+09,3.0E+09,1.4E+09,2.3E+09,1.3E+09,1.5E+09,8.3E+08,1.3E+09,1.7E+09,2.2E+09,2.9E+09,3.7E+09,5.4E+09,5.9E+09,4.5E+09,4.5E+09,4.6E+09,5.0E+09,4.1E+07,4.2E+07,4.1E+07,4.7E+07,4.7E+07,4.2E+07,5.5E+07,19.2,24.5,29.4,28.5,34.9,8.0
C337_HILIC,"(3Z,6Z,9Z,12Z,21R)-27-Amino-24-hydroxy-24-oxido-18-oxo-19,23,25-trioxa-24lambda~5~-phosphaheptacosa-3,6,9,12-tetraen-21-yl (5Z,8Z,11Z)-5,8,11-icosatrienoate",761.4995,2.52,0.1,0.0,-0.2,-2.4,-2.3,0.1,-2.2,-1.9,0.3,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.8E+07,9.8E+06,1.8E+07,2.0E+07,1.9E+07,2.0E+07,1.7E+07,2.0E+07,1.1E+08,1.0E+08,9.7E+07,8.3E+07,6.4E+07,7.6E+07,9.0E+07,1.1E+08,9.6E+07,9.1E+07,9.0E+07,6.8E+07,8.5E+07,7.0E+07,8.2E+07,8.3E+07,9.6E+05,9.3E+05,9.8E+05,1.0E+06,1.0E+06,1.1E+06,1.0E+06,13.9,6.9,16.8,20.9,29.6,5.7
C338_HILIC,PS(18:0/16:1(9Z)),761.5207,2.13,0.9,0.2,0.0,-0.6,-4.4,-3.8,0.1,-3.5,-3.5,1.000,1.000,1.000,0.369,0.000,0.000,1.000,0.000,0.000,8.8E+06,1.1E+07,1.1E+07,2.6E+07,1.0E+07,1.6E+07,6.8E+06,1.9E+07,1.5E+07,1.8E+07,1.4E+07,1.6E+07,1.0E+07,1.3E+07,2.7E+07,3.3E+07,1.6E+08,1.3E+08,2.2E+08,2.3E+08,1.9E+08,1.9E+08,2.1E+08,2.1E+08,2.7E+05,3.7E+05,3.4E+05,3.2E+05,3.9E+05,3.7E+05,4.9E+05,22.7,13.7,43.6,43.6,35.2,18.6
C339_HILIC,"PC(o-16:0/20:4(8Z,11Z,14Z,17Z))",767.5818,2.79,0.6,0.7,-0.1,0.0,-1.7,-1.6,-0.2,-1.0,-0.8,1.000,1.000,1.000,1.000,0.005,0.003,1.000,0.017,0.070,1.2E+07,7.6E+06,1.0E+07,1.6E+07,8.5E+06,2.2E+07,1.7E+07,1.6E+07,1.3E+07,2.1E+07,9.2E+06,1.7E+07,6.2E+06,1.1E+07,1.3E+07,2.0E+07,3.5E+07,2.9E+07,3.8E+07,3.1E+07,3.3E+07,6.6E+07,3.0E+07,3.3E+07,1.8E+05,1.8E+05,2.3E+05,2.1E+05,2.0E+05,2.4E+05,2.0E+05,44.1,10.5,24.2,33.0,38.9,29.6
C340_HILIC,"PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))",779.5460,2.81,0.0,-0.1,-0.2,-2.2,-1.9,0.3,-2.1,-1.8,0.3,1.000,1.000,1.000,0.000,0.000,0.054,0.000,0.000,0.057,8.3E+07,8.5E+07,9.5E+07,8.3E+07,9.2E+07,9.5E+07,8.1E+07,8.8E+07,4.6E+08,3.7E+08,3.7E+08,3.4E+08,3.5E+08,3.5E+08,4.2E+08,3.9E+08,3.3E+08,3.3E+08,3.5E+08,2.9E+08,3.3E+08,2.8E+08,3.1E+08,3.0E+08,2.1E+05,2.1E+05,2.1E+05,2.4E+05,2.3E+05,3.1E+05,2.2E+05,6.6,4.3,6.0,11.9,6.0,7.8
C341_HILIC,1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,781.5617,2.80,0.3,0.3,0.1,0.6,0.5,-0.2,0.7,0.7,0.0,1.000,1.000,1.000,0.085,0.374,1.000,0.590,0.134,1.000,2.4E+09,1.7E+09,2.4E+09,3.0E+09,2.3E+09,2.9E+09,2.4E+09,3.1E+09,2.0E+09,2.5E+09,1.6E+09,1.8E+09,1.3E+09,1.8E+09,1.5E+09,2.0E+09,1.8E+09,1.8E+09,2.1E+09,2.0E+09,1.6E+09,1.9E+09,1.7E+09,1.6E+09,1.6E+07,1.6E+07,1.5E+07,1.6E+07,1.8E+07,1.6E+07,1.8E+07,9.8,12.7,16.9,20.3,24.7,1.5
C342_HILIC,"O-{[(2R)-3-[(13Z,16Z)-13,16-Docosadienoyloxy]-2-(tetradecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine",787.5365,2.08,1.0,0.2,-0.1,1.7,-0.7,-2.4,2.5,0.5,-2.1,1.000,1.000,1.000,0.002,0.802,0.000,0.000,1.000,0.001,6.3E+07,5.3E+07,9.8E+07,2.1E+08,6.6E+07,1.7E+08,7.9E+07,1.3E+08,2.3E+07,3.0E+07,2.1E+07,2.1E+07,1.1E+07,1.8E+07,2.9E+07,3.2E+07,9.7E+07,8.0E+07,1.2E+08,9.9E+07,1.1E+08,1.2E+08,1.3E+08,1.2E+08,2.8E+05,3.7E+05,3.1E+05,3.0E+05,3.9E+05,3.7E+05,4.9E+05,17.2,11.9,28.1,36.5,48.3,21.2
C343_HILIC,1-stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol),798.5413,1.98,1.1,0.4,-0.4,1.3,1.1,-0.2,2.1,2.7,0.6,1.000,1.000,1.000,0.028,0.094,1.000,0.006,0.000,0.967,2.1E+07,1.5E+07,2.3E+07,7.1E+07,2.1E+07,4.8E+07,2.6E+07,4.9E+07,8.9E+06,1.5E+07,9.1E+06,8.8E+06,4.3E+06,7.8E+06,1.1E+07,1.4E+07,1.1E+07,8.7E+06,1.2E+07,6.3E+06,8.9E+06,7.8E+06,7.5E+06,7.2E+06,1.7E+05,1.7E+05,1.7E+05,2.1E+05,1.8E+05,2.0E+05,1.6E+05,13.4,22.0,33.3,33.8,50.8,9.6
