Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT"
A021_HILIC,L-Pyroglutamic acid,129.0426,6.48,0.4,0.4,0.2,1.4,1.4,0.0,1.3,1.5,0.2,1.000,1.000,1.000,0.001,0.001,1.000,0.002,0.000,0.973,1.5E+09,2.4E+09,1.5E+09,1.4E+09,1.6E+09,4.2E+09,1.5E+09,1.6E+09,6.9E+08,7.6E+08,4.5E+08,7.3E+08,6.4E+08,8.3E+08,5.3E+08,1.2E+09,5.9E+08,5.3E+08,6.6E+08,7.2E+08,5.6E+08,6.7E+08,5.9E+08,7.2E+08,4.7E+06,5.4E+06,5.6E+06,1.9E+06,1.3E+06,1.7E+06,3.4E+06,13.7,7.0,23.0,19.2,54.2,4.6
A022_HILIC,Pipecolic acid,129.0791,11.76,-0.3,-0.6,-0.3,-1.7,-3.8,-2.0,-1.4,-3.7,-2.3,1.000,1.000,1.000,0.020,0.000,0.001,0.052,0.000,0.000,2.0E+08,3.0E+08,2.2E+08,1.7E+08,2.8E+08,1.2E+08,2.0E+08,1.8E+08,5.0E+08,4.1E+08,9.1E+08,5.3E+08,3.7E+08,2.6E+08,9.7E+08,7.7E+08,3.9E+09,3.0E+09,3.3E+09,2.6E+09,2.5E+09,2.0E+09,2.1E+09,1.7E+09,1.6E+06,2.0E+06,1.9E+06,4.1E+05,3.9E+05,3.9E+05,1.7E+06,26.9,27.2,43.4,43.5,38.9,16.2
A023_HILIC,Ketoleucine (4-Methyl-2-oxopentanoic acid),130.0630,2.34,1.8,0.4,-0.5,-3.1,-8.2,-5.1,-1.7,-5.8,-4.2,1.000,1.000,1.000,0.004,0.000,0.000,0.085,0.000,0.000,2.3E+05,5.1E+05,2.2E+05,1.2E+06,2.3E+05,1.1E+06,1.1E+06,4.2E+05,2.0E+06,4.7E+06,1.6E+06,2.1E+06,2.0E+06,1.1E+06,2.1E+06,3.1E+06,7.6E+07,5.9E+07,5.5E+07,3.2E+07,8.1E+07,3.5E+07,5.7E+07,5.7E+07,8.8E+05,1.1E+06,8.6E+05,2.3E+05,5.0E+05,1.4E+05,1.4E+05,31.2,19.7,55.3,11.3,50.9,95.7
A024_HILIC,N-Acetylputrescine,130.1108,21.20,0.2,0.5,0.1,-5.1,-5.8,-0.7,-5.4,-5.6,-0.3,1.000,1.000,1.000,0.000,0.000,0.399,0.000,0.000,1.000,1.1E+06,1.8E+06,8.7E+05,1.0E+06,9.1E+05,1.0E+06,8.2E+05,8.3E+05,4.0E+07,4.7E+07,3.3E+07,4.1E+07,2.0E+07,3.1E+07,2.8E+07,4.3E+07,4.8E+07,5.1E+07,5.0E+07,3.1E+07,5.0E+07,6.6E+07,3.4E+07,5.2E+07,1.9E+05,1.5E+05,1.5E+05,1.5E+05,2.4E+05,2.2E+05,1.7E+05,29.0,17.0,17.2,29.0,37.3,13.8
A025_HILIC,L-Hydroxyproline,131.0583,14.57,-0.4,0.3,0.0,-3.6,-4.2,-0.6,-4.3,-4.6,-0.3,1.000,1.000,1.000,0.000,0.000,0.253,0.000,0.000,0.905,2.5E+08,3.4E+08,2.5E+08,1.8E+08,3.6E+08,1.8E+08,1.9E+08,1.9E+08,2.2E+09,3.4E+09,3.7E+09,3.9E+09,3.0E+09,3.0E+09,3.1E+09,4.0E+09,5.0E+09,4.8E+09,5.2E+09,4.2E+09,3.9E+09,4.7E+09,3.7E+09,4.2E+09,1.8E+06,3.1E+05,9.5E+05,1.6E+06,1.8E+06,9.8E+05,1.8E+06,7.1,16.8,13.2,19.7,36.0,26.5
A026_HILIC,L-Leucine,131.0947,10.31,0.2,0.4,-0.2,-0.5,-1.1,-0.6,-0.7,-0.7,0.0,1.000,1.000,1.000,0.192,0.002,0.437,0.039,0.032,1.000,8.1E+08,1.2E+09,8.7E+08,9.1E+08,9.4E+08,8.3E+08,8.1E+08,1.0E+09,1.7E+09,2.1E+09,1.1E+09,1.3E+09,1.2E+09,1.6E+09,1.1E+09,1.6E+09,1.3E+09,1.3E+09,1.7E+09,1.4E+09,2.0E+09,1.8E+09,1.9E+09,2.1E+09,1.5E+06,1.3E+06,1.8E+06,1.8E+06,1.9E+06,1.7E+06,1.5E+06,24.6,16.9,22.0,21.8,16.0,6.8
A027_HILIC,L-(+)-Isoleucine,131.0947,10.70,0.4,0.6,-0.4,-0.5,-1.2,-0.7,-0.7,-0.5,0.3,1.000,1.000,1.000,0.510,0.016,0.733,0.188,0.687,1.000,6.2E+08,8.0E+08,4.9E+08,7.9E+08,7.3E+08,6.7E+08,5.5E+08,7.6E+08,1.7E+09,2.1E+09,6.3E+08,9.4E+08,1.0E+09,1.3E+09,6.6E+08,1.2E+09,1.1E+09,9.6E+08,1.3E+09,8.3E+08,1.4E+09,1.2E+09,1.5E+09,1.4E+09,3.6E+05,1.4E+06,1.5E+06,1.5E+06,1.5E+06,1.4E+06,3.6E+05,23.3,12.6,37.1,51.4,8.1,17.0
A028_HILIC,L-(-)-Asparagine,132.0535,15.62,0.3,0.6,0.2,-0.8,-1.9,-1.1,-1.2,-1.9,-0.7,1.000,1.000,1.000,0.104,0.000,0.011,0.004,0.000,0.325,6.4E+07,1.2E+08,7.7E+07,8.2E+07,6.7E+07,7.8E+07,7.3E+07,8.6E+07,1.3E+08,2.6E+08,1.3E+08,1.8E+08,1.2E+08,1.8E+08,1.0E+08,2.0E+08,1.5E+08,2.0E+08,2.5E+08,2.8E+08,2.8E+08,3.2E+08,3.6E+08,4.5E+08,3.7E+05,3.5E+05,4.2E+05,3.3E+05,1.5E+06,3.6E+05,3.5E+05,32.7,32.1,17.7,12.4,19.1,7.9
A029_HILIC,L-Ornithine,132.0900,23.58,0.0,0.6,0.6,-2.2,-1.1,1.2,-2.8,-1.7,1.1,1.000,1.000,1.000,0.000,0.034,0.013,0.000,0.003,0.039,6.0E+06,1.4E+07,1.3E+07,1.1E+07,1.5E+07,1.8E+07,1.4E+07,1.3E+07,9.8E+07,1.2E+08,6.6E+07,9.7E+07,6.0E+07,8.8E+07,4.9E+07,7.5E+07,1.7E+07,3.1E+07,2.9E+07,2.7E+07,2.7E+07,6.1E+07,3.0E+07,5.3E+07,3.9E+05,2.6E+05,3.4E+05,2.4E+05,3.2E+05,2.2E+05,2.0E+05,38.3,22.4,19.3,30.8,22.2,33.8
A030_HILIC,L-(+)-Aspartic acid,133.0376,15.52,0.0,0.1,0.0,0.7,1.0,0.3,0.6,1.0,0.4,1.000,1.000,1.000,0.002,0.000,0.142,0.001,0.000,0.059,3.8E+09,5.8E+09,4.5E+09,4.0E+09,4.4E+09,4.7E+09,4.6E+09,4.1E+09,3.2E+09,2.9E+09,2.8E+09,2.7E+09,2.6E+09,2.8E+09,2.7E+09,3.1E+09,2.1E+09,2.4E+09,2.5E+09,2.0E+09,2.0E+09,2.1E+09,2.4E+09,2.4E+09,1.3E+06,1.8E+06,2.4E+06,2.4E+06,1.5E+06,1.6E+06,2.3E+06,8.7,10.4,6.1,8.2,18.4,8.7
