genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Ndufa8	-1.1861699	68375	Q9DCJ5	Q9DCJ5	0.48892250621060795
Gpd2	-0.6827925	14571	Q64521	Q64521	0.077785858502944
Atp5g3	-0.42785585	228033	P56384		
Atp5g3	-0.42785585	228033	Q14BC2		
Ndufs3	0.27237263	68349	Q9DCT2	Q9DCT2	0.43961347009578133
Dgkz	-0.4016177	104418	Q80UP3	A2AHJ7	0.19528654212984922
Dgkz	-0.4016177	104418	Q80UP3	A2AHK0	0.19528654212984922
Dgkz	-0.4016177	104418	Q80UP3	Q80UP3	0.19528654212984922
Dgkz	-0.4016177	104418	A0A668KL90	A2AHJ7	0.19528654212984922
Dgkz	-0.4016177	104418	A0A668KL90	A2AHK0	0.19528654212984922
Dgkz	-0.4016177	104418	A0A668KL90	Q80UP3	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHJ7	A2AHJ7	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHJ7	A2AHK0	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHJ7	Q80UP3	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHK0	A2AHJ7	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHK0	A2AHK0	0.19528654212984922
Dgkz	-0.4016177	104418	A2AHK0	Q80UP3	0.19528654212984922
Ivd	0.07952662	56357	Q9JHI5	Q9JHI5	0.26190252687476323
Pla2g4e	-0.2925562	329502	Q50L42	Q50L42	0.7832627177865756
Idh3b	0.7231971	170718	Q91VA7	Q91VA7	-0.6465513965163643
Cds2	1.4984082	110911	Q99L43	Q99L43	0.5528671245626712
Cds2	1.4984082	110911	Q99L43	A2AMQ5	0.5528671245626712
Cds2	1.4984082	110911	Q99L43	Q6PBC0	0.5528671245626712
Cds2	1.4984082	110911	A2AMQ5	Q99L43	0.5528671245626712
Cds2	1.4984082	110911	A2AMQ5	A2AMQ5	0.5528671245626712
Cds2	1.4984082	110911	A2AMQ5	Q6PBC0	0.5528671245626712
Cds2	1.4984082	110911	Q6PBC0	Q99L43	0.5528671245626712
Cds2	1.4984082	110911	Q6PBC0	A2AMQ5	0.5528671245626712
Cds2	1.4984082	110911	Q6PBC0	Q6PBC0	0.5528671245626712
Cds2	1.4984082	110911	Q8BX08	Q99L43	0.5528671245626712
Cds2	1.4984082	110911	Q8BX08	A2AMQ5	0.5528671245626712
Cds2	1.4984082	110911	Q8BX08	Q6PBC0	0.5528671245626712
Gpcpd1	0.5589556	74182	Q8C0L9	Q8C0L9	0.6224676854939772
Crls1	2.3478668	66586	Q80ZM8		
Crls1	2.3478668	66586	A0A0C3SFZ5		
Acss1	-4.0304523	68738	Q99NB1	Q99NB1	1.1760242904502187
Acss1	-4.0304523	68738	Q3UJ89	Q99NB1	1.1760242904502187
Acss1	-4.0304523	68738	Q69Z91	Q99NB1	1.1760242904502187
Acss2	-0.9798203	60525	Q9QXG4	Q9QXG4	0.36118941257645537
Ptgis	-0.2765811	19223	O35074		
Atp5e	-0.6819063	67126	P56382		
Atp5e	-0.6819063	67126	Q545F5		
Ndufb5	-0.575189	66046	Q9CQH3	D3Z568	-0.11621373931494977
Ndufb5	-0.575189	66046	Q9CQH3	Q9CQH3	-0.11621373931494977
Ndufb5	-0.575189	66046	D3Z568	D3Z568	-0.11621373931494977
Ndufb5	-0.575189	66046	D3Z568	Q9CQH3	-0.11621373931494977
Mccc1	-0.61949575	72039	Q99MR8	Q99MR8	0.4611875773864579
Ndufc1	0.10484986	66377	Q9CQY9		
Atp5pb	-0.1954401	11950	Q9CQQ7	Q9CQQ7	0.11799787187786728
Atp5pb	-0.1954401	11950	Q5I0W0	Q9CQQ7	0.11799787187786728
Cept1	0.2812819	99712	Q8BGS7	Q8BGS7	1.007068230770966
Dbt	0.3927563	13171	P53395	P53395	0.13817215871728453
Pla2g12a	-0.39880902	66350	Q9EPR2		
Cyp2u1	-0.53176004	71519	Q9CX98		
Ppa2	-0.45184317	74776	Q91VM9	Q91VM9	-0.1787052208362116
Ppa2	-0.45184317	74776	Q91VM9	D3Z636	0.19888900527033881
Ppa2	-0.45184317	74776	D3Z636	Q91VM9	-0.1787052208362116
Ppa2	-0.45184317	74776	D3Z636	D3Z636	0.19888900527033881
Adh5	0.3465631	11532	P28474	P28474	-0.06672809218834393
Adh5	0.3465631	11532	Q6P5I3	P28474	-0.06672809218834393
Acadm	0.40813315	11364	P45952	P45952	0.4789581585333282
Aco1	0.81311023	11428	P28271	P28271	0.19864484383747297
Ndufb6	0.6352548	230075	Q3UIU2	Q3UIU2	0.0706055080317569
Ndufb6	0.6352548	230075	A2AP31	Q3UIU2	0.0706055080317569
Grhpr	-2.872819	76238	Q91Z53	Q91Z53	0.3870972415530389
Grhpr	-2.872819	76238	Q3T9Z2	Q91Z53	0.3870972415530389
Aldh1b1	-1.756967	72535	Q9CZS1	Q9CZS1	0.2852941057160491
Atp6v1g1	-0.101362824	66290	Q9CR51	Q9CR51	-0.4833942531975885
Atp6v1g1	-0.101362824	66290	Q5HZY7	Q9CR51	-0.4833942531975885
Aldoart1	2.3667793	353204	A6ZI46		
Pgm1	-1.1704298	72157	Q9D0F9	Q9D0F9	0.30907051389242474
Pgm1	-1.1704298	72157	Q3U6X6	Q9D0F9	0.30907051389242474
Plpp3	-1.8606791	67916	Q99JY8	Q99JY8	-0.17867122893957654
Gpx7	1.8933786	67305	Q99LJ6	Q99LJ6	0.5431047480593989
Gpx7	1.8933786	67305	Q3TNK3	Q99LJ6	0.5431047480593989
Uqcrh	0.22414935	66576	P99028	P99028	0.32114199620528866
Akr1a1	-0.73172486	58810	Q9JII6	Q9JII6	0.38505731614771965
Akr1a1	-0.73172486	58810	Q540D7	Q9JII6	0.38505731614771965
Akr1a1	-0.73172486	58810	Q80XJ7	Q9JII6	0.38505731614771965
Atp6v0b	0.21782239	114143	Q91V37		
Atp6v0b	0.21782239	114143	Q3U889		
Ndufs5	-0.5145656	595136	Q99LY9	Q99LY9	0.614567461875835
Hmgcl	0.8517515	15356	P38060	P38060	0.16182900608446885
Lypla2	-0.77523136	26394	Q9WTL7	Q9WTL7	-0.6021200770006001
Sdhb	-0.19390789	67680	Q9CQA3	Q9CQA3	0.3314293531935697
Eno1	0.5715897	13806	P17182	P17182	-0.05065893808589691
Eno1	0.5715897	13806	Q5FW97	P17182	-0.05065893808589691
Prxl2b	1.4389093	66469	Q9DB60	Q9DB60	0.47861008771532815
Hadha	1.6077552	97212	Q8BMS1	Q8BMS1	0.5647526741551587
Hadhb	-1.3115078	231086	Q99JY0	Q99JY0	0.6112201786289309
Selenoi	0.6471213	28042	Q80TA1		
Plb1	-3.7672243	665270	Q3TTY0		
Plb1	-3.7672243	665270	Q8K255		
Pisd	0.70109546	320951	Q8BSF4		
Pisd	0.70109546	320951	E9PX91		
Pisd	0.70109546	320951	Q505E1		
Acox3	-2.3270364	80911	Q9EPL9	Q9EPL9	0.5767173410773405
Acox3	-2.3270364	80911	Q9EPL9	Q3TAW3	0.5767173410773405
Acox3	-2.3270364	80911	Q3TAW3	Q9EPL9	0.5767173410773405
